2016-03-18 08:05:32 install libbz2-1.0:armhf <none> 1.0.6-7
2016-03-18 08:05:32 status half-installed libbz2-1.0:armhf 1.0.6-7
2016-03-18 08:05:32 status unpacked libbz2-1.0:armhf 1.0.6-7
2016-03-18 08:05:32 status unpacked libbz2-1.0:armhf 1.0.6-7
2016-03-18 08:05:32 install libc-bin:armhf <none> 2.19-18+deb8u3
2016-03-18 08:05:32 status half-installed libc-bin:armhf 2.19-18+deb8u3
2016-03-18 08:05:32 status unpacked libc-bin:armhf 2.19-18+deb8u3
2016-03-18 08:05:32 status unpacked libc-bin:armhf 2.19-18+deb8u3
2016-03-18 08:05:33 upgrade libc6:armhf 2.19-18+deb8u3 2.19-18+deb8u3
2016-03-18 08:05:33 status half-configured libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:33 status unpacked libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:33 status half-installed libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:35 status half-installed libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:35 status unpacked libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:35 status unpacked libc6:armhf 2.19-18+deb8u3
2016-03-18 08:05:35 install libcap2:armhf <none> 1:2.24-8
2016-03-18 08:05:35 status half-installed libcap2:armhf 1:2.24-8
2016-03-18 08:05:35 status unpacked libcap2:armhf 1:2.24-8
2016-03-18 08:05:35 status unpacked libcap2:armhf 1:2.24-8
2016-03-18 08:05:35 install libcap2-bin:armhf <none> 1:2.24-8
2016-03-18 08:05:35 status half-installed libcap2-bin:armhf 1:2.24-8
2016-03-18 08:05:35 status unpacked libcap2-bin:armhf 1:2.24-8
2016-03-18 08:05:35 status unpacked libcap2-bin:armhf 1:2.24-8
2016-03-18 08:05:35 install libcomerr2:armhf <none> 1.42.12-1.1
2016-03-18 08:05:35 status half-installed libcomerr2:armhf 1.42.12-1.1
2016-03-18 08:05:35 status unpacked libcomerr2:armhf 1.42.12-1.1
2016-03-18 08:05:35 status unpacked libcomerr2:armhf 1.42.12-1.1
2016-03-18 08:05:35 install libcryptsetup4:armhf <none> 2:1.6.6-5
2016-03-18 08:05:35 status half-installed libcryptsetup4:armhf 2:1.6.6-5
2016-03-18 08:05:35 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-03-18 08:05:35 status unpacked libcryptsetup4:armhf 2:1.6.6-5
2016-03-18 08:05:35 install libdb5.3:armhf <none> 5.3.28-9
2016-03-18 08:05:35 status half-installed libdb5.3:armhf 5.3.28-9
2016-03-18 08:05:36 status unpacked libdb5.3:armhf 5.3.28-9
2016-03-18 08:05:36 status unpacked libdb5.3:armhf 5.3.28-9
2016-03-18 08:05:36 install libdbus-1-3:armhf <none> 1.8.20-0+deb8u1
2016-03-18 08:05:36 status half-installed libdbus-1-3:armhf 1.8.20-0+deb8u1
2016-03-18 08:05:36 status unpacked libdbus-1-3:armhf 1.8.20-0+deb8u1
2016-03-18 08:05:36 status unpacked libdbus-1-3:armhf 1.8.20-0+deb8u1
2016-03-18 08:05:36 install libdebconfclient0:armhf <none> 0.192
2016-03-18 08:05:36 status half-installed libdebconfclient0:armhf 0.192
2016-03-18 08:05:36 status unpacked libdebconfclient0:armhf 0.192
2016-03-18 08:05:36 status unpacked libdebconfclient0:armhf 0.192
2016-03-18 08:05:36 install libdevmapper1.02.1:armhf <none> 2:1.02.90-2.2
2016-03-18 08:05:36 status half-installed libdevmapper1.02.1:armhf 2:1.02.90-2.2
2016-03-18 08:05:37 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2016-03-18 08:05:37 status unpacked libdevmapper1.02.1:armhf 2:1.02.90-2.2
2016-03-18 08:05:37 install libdrm2:armhf <none> 2.4.58-2
2016-03-18 08:05:37 status half-installed libdrm2:armhf 2.4.58-2
2016-03-18 08:05:37 status unpacked libdrm2:armhf 2.4.58-2
2016-03-18 08:05:37 status unpacked libdrm2:armhf 2.4.58-2
2016-03-18 08:05:37 install libgcc1:armhf <none> 1:4.9.2-10
2016-03-18 08:05:37 status half-installed libgcc1:armhf 1:4.9.2-10
2016-03-18 08:05:37 status unpacked libgcc1:armhf 1:4.9.2-10
2016-03-18 08:05:37 status unpacked libgcc1:armhf 1:4.9.2-10
2016-03-18 08:05:37 install libgcrypt20:armhf <none> 1.6.3-2+deb8u1
2016-03-18 08:05:37 status half-installed libgcrypt20:armhf 1.6.3-2+deb8u1
2016-03-18 08:05:38 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u1
2016-03-18 08:05:38 status unpacked libgcrypt20:armhf 1.6.3-2+deb8u1
2016-03-18 08:05:38 install libgpg-error0:armhf <none> 1.17-3
2016-03-18 08:05:38 status half-installed libgpg-error0:armhf 1.17-3
2016-03-18 08:05:38 status unpacked libgpg-error0:armhf 1.17-3
2016-03-18 08:05:38 status unpacked libgpg-error0:armhf 1.17-3
2016-03-18 08:05:38 install libklibc:armhf <none> 2.0.4-2+rpi1
2016-03-18 08:05:38 status half-installed libklibc:armhf 2.0.4-2+rpi1
2016-03-18 08:05:38 status unpacked libklibc:armhf 2.0.4-2+rpi1
2016-03-18 08:05:38 status unpacked libklibc:armhf 2.0.4-2+rpi1
2016-03-18 08:05:38 install libkmod2:armhf <none> 18-3
2016-03-18 08:05:38 status half-installed libkmod2:armhf 18-3
2016-03-18 08:05:38 status unpacked libkmod2:armhf 18-3
2016-03-18 08:05:38 status unpacked libkmod2:armhf 18-3
2016-03-18 08:05:38 install liblocale-gettext-perl:armhf <none> 1.05-8+b1
2016-03-18 08:05:38 status half-installed liblocale-gettext-perl:armhf 1.05-8+b1
2016-03-18 08:05:38 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2016-03-18 08:05:38 status unpacked liblocale-gettext-perl:armhf 1.05-8+b1
2016-03-18 08:05:39 install liblzma5:armhf <none> 5.1.1alpha+20120614-2
2016-03-18 08:05:39 status half-installed liblzma5:armhf 5.1.1alpha+20120614-2
2016-03-18 08:05:39 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2016-03-18 08:05:39 status unpacked liblzma5:armhf 5.1.1alpha+20120614-2
2016-03-18 08:05:39 install libmount1:armhf <none> 2.25.2-6
2016-03-18 08:05:39 status half-installed libmount1:armhf 2.25.2-6
2016-03-18 08:05:39 status unpacked libmount1:armhf 2.25.2-6
2016-03-18 08:05:39 status unpacked libmount1:armhf 2.25.2-6
2016-03-18 08:05:39 install libncurses5:armhf <none> 5.9+20140913-1
2016-03-18 08:05:39 status half-installed libncurses5:armhf 5.9+20140913-1
2016-03-18 08:05:39 status unpacked libncurses5:armhf 5.9+20140913-1
2016-03-18 08:05:39 status unpacked libncurses5:armhf 5.9+20140913-1
2016-03-18 08:05:39 install libncursesw5:armhf <none> 5.9+20140913-1
2016-03-18 08:05:39 status half-installed libncursesw5:armhf 5.9+20140913-1
2016-03-18 08:05:39 status unpacked libncursesw5:armhf 5.9+20140913-1
2016-03-18 08:05:39 status unpacked libncursesw5:armhf 5.9+20140913-1
2016-03-18 08:05:39 install libnih-dbus1:armhf <none> 1.0.3-4.3
2016-03-18 08:05:39 status half-installed libnih-dbus1:armhf 1.0.3-4.3
2016-03-18 08:05:39 status unpacked libnih-dbus1:armhf 1.0.3-4.3
2016-03-18 08:05:39 status unpacked libnih-dbus1:armhf 1.0.3-4.3
2016-03-18 08:05:40 install libnih1:armhf <none> 1.0.3-4.3
2016-03-18 08:05:40 status half-installed libnih1:armhf 1.0.3-4.3
2016-03-18 08:05:40 status unpacked libnih1:armhf 1.0.3-4.3
2016-03-18 08:05:40 status unpacked libnih1:armhf 1.0.3-4.3
2016-03-18 08:05:40 install libpam-modules:armhf <none> 1.1.8-3.1+deb8u1
2016-03-18 08:05:40 status half-installed libpam-modules:armhf 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 status unpacked libpam-modules:armhf 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 install libpam-modules-bin:armhf <none> 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 status half-installed libpam-modules-bin:armhf 1.1.8-3.1+deb8u1
2016-03-18 08:05:41 status unpacked libpam-modules-bin:armhf 1.1.8-3.1+deb8u1
